TC,DC,BD,NC,PP,NI,BC
9.94,1.94,7.7,0.3,20,8.52,16.2
10.37,1.86,8.2,0.31,12.44,7.62,10.5
9.98,2.42,7.3,0.26,14.62,9.61,9.5
27.38,19.26,7.8,0.32,30.1,7.45,9.8
33.29,22.84,9.9,0.55,32.9,5.57,11.8
32.76,22.39,9.9,0.47,33.12,4.94,12.9
23.63,15.36,6.4,1.88,26.69,8.7,8.9
19.45,11.76,7.4,0.29,22.3,9.65,8.8
28.53,14.77,12.7,1.6,19.74,1.53,15.2
1.98,0.7,0.2,8.85,15.58,1.98,10.97
25.21,16.79,8,0.42,21.58,1.8,10.5
21.97,18.22,3.4,0.35,25.48,14.8,5.8
24.4,14.75,8.5,0.79,24.89,10.77,11.6
14.78,13.3,1.4,0.8,21.71,16.27,2.9
8.44,2.9,0.12,14.48,13.44,8.44,6.77
5.4,0,0,14.6,18.62,5.4,7.09
0.42,0.9,0.1,6.5,16.84,0.42,5.59
30.7,23.46,6.7,0.54,32.87,3.2,8.6
28.12,22.3,6,0.8,34.93,7.56,5.5
26.24,18.13,8,0.7,38.12,5.32,14.7
24.96,16.91,5.2,2.85,25.4,3.47,4.9
32.67,18.55,4.6,9.52,26.64,3.4,5.5
32.76,21.5,11,0.26,39.97,3.59,15
23.42,12.49,10.8,0.13,34.11,7.89,13.9
35.29,22.99,12,0.3,39.28,1.52,14.9
26.56,17.9,8,1.47,37.51,5.42,15
18.51,15.43,3,0.8,24.71,5.26,4.1
20.42,14.8,5.5,0.12,22.86,3.94,4.8
17.5,13.88,3.1,0.7,29.64,7.82,8.2
16.21,13.16,3,0.5,26.4,8.91,4.2
6.93,4.9,2.8,0.3,17.62,9.61,4
16.78,13.3,3.3,0.17,26.38,7.42,6
19.28,14.09,5,0.18,21.89,3.7,4.2
19.64,15.87,3.6,0.17,30.1,6.65,8.1
18.72,15.7,3,0.02,30.47,10.51,4.3
19.07,15.18,2,1.89,29.34,10.22,5.1
17.71,14.34,2.1,1.27,27.13,10.91,2.4
7.41,4.69,2.7,0.02,18.68,10.65,3.6
18.8,15.96,2.8,0.04,30.24,10.58,3.7
21.66,18.5,3.1,0.07,32.87,7.99,6.5
17.99,14.34,3.6,0.05,27.08,9.06,4.1
24.98,20.5,4.4,0.07,31.39,7.11,4
20.2,15.18,4.9,0.12,29.92,5.46,10
18.84,13.81,4.9,0.13,24.53,6.84,4.5
9.22,5.57,3.6,0.06,20.29,6.45,8.4
26.28,20.19,5.9,0.19,30.09,5.91,5
23.08,16.38,6.5,0.2,27.18,2.27,9.2
14.45,8.03,6,0.42,13.96,0.78,8.8
13.48,8.48,4.7,0.3,13.74,4.69,6
19.68,11.71,7.8,0.17,20.65,2.87,6.7
19.2,7.58,2.1,9.51,18.17,1.36,9.8
7.92,4.69,3.2,0.03,17.57,8.55,4.4
23.6,16.48,6.8,0.32,23.56,1.75,6.3
25.18,17.95,7,0.23,33.24,7.01,8.6
30.84,19.18,8.4,3.19,39.49,4.61,15.8
21.14,17.81,3.3,0.03,32.37,10.14,4.6
19.44,16.08,3.3,0.07,28.33,8.14,4.3
18.09,15.12,2.9,0.07,28.85,7.74,6.1
8.43,5.49,2.9,0.03,19.84,10.62,3.8
20.21,16.78,3.4,0.03,31.55,10.16,4.7
20.49,17.58,2.8,0.11,31.98,8.52,6
20.65,17.81,2.8,0.05,31.16,9.79,3.6
20.39,15.16,5.1,0.13,23.35,5.32,3
19.38,15.46,3.7,0.22,28.52,3.49,10.3
19.68,15.65,3.8,0.23,25.93,5.44,5.5
7.88,4.65,3.2,0.03,16.67,8.2,3.9
28.36,18.23,4.6,5.53,28.07,8.85,5.8
25.32,17.66,7.5,0.16,36.37,6.38,12.7
19.94,16.8,3.1,0.04,30.89,10.13,4.1
18.72,15.13,3.5,0.09,29.49,8.15,6.3
19.54,16.69,2.8,0.05,30.18,9.87,3.8
29.28,26.18,3,0.1,36.48,6.94,3.5
7.72,4.36,3.3,0.06,17.69,6.49,6.9
21.58,17.84,3.7,0.04,31.15,9.67,4
22.66,18.25,4.3,0.11,32.36,6.31,8
20.08,17.25,2.8,0.03,30.98,10.18,3.7
19.38,16.29,3,0.09,30.21,8.36,5.6
18.87,15.74,3.1,0.03,28.87,9.76,3.4
19.18,15.94,3.2,0.04,30.65,8.25,6.6
12.22,8.79,3.4,0.03,22.34,10.44,3.2
24.45,19.67,4.6,0.18,33.82,6.32,8
30.08,25.46,4.49,0.13,33.94,3.88,4.61
27.25,23.88,3.21,0.17,36.11,4.64,7.59
24.58,20.02,4.3,0.26,30.38,7.07,4.8
21.3,19.06,2.2,0.05,32.61,8.02,5.8
19.48,14.99,4.4,0.09,22.4,4.46,3.3
9.11,6.67,2.4,0.04,22.91,9.22,7.2
23.61,20.44,3.1,0.07,32.37,8.74,3.3
20.24,17.1,3.1,0.04,31.51,7.78,6.7
27.13,22.94,4.1,0.1,34.08,8.2,3
27.3,22.56,4.6,0.14,36.48,4.75,9.4
24.4,19.85,4.5,0.06,31.5,7.31,4.4
21.13,15.15,5.9,0.8,27.7,3.82,8.2
7.91,4.7,3.8,0.4,18.74,9.25,5.5
22.96,17.33,3.3,2.33,28.95,2.72,9.5
24.29,18.83,5.1,0.36,30.3,8.7,4
27.31,21.74,5.4,0.17,34.95,5.22,8.7
26.63,19.37,3.7,3.56,31.88,8.64,6.8
27.12,17.96,4.2,4.96,26.24,7.14,3.1
25.28,19.53,5.7,0.5,34.16,5.4,9.7
15.89,9.81,6,0.7,21.92,7.61,4.6
30.8,24.63,5.9,0.26,36.33,0.67,11.4
34.45,28.12,6,0.34,35.46,0.34,7.2
31.62,25.48,5.9,0.24,34.9,0.86,8.9
31.54,24.86,6.5,0.19,35.42,1.49,9.1
27.89,19.8,8.6,0.21,31.14,4.2,8.4
11.58,5.71,5.8,0.7,25.71,8.66,11.4
11.26,5.51,5.7,0.5,22.34,8.5,8.4
24.82,19.24,5.5,0.8,32.85,5.6,8.1
28,22.43,5.5,0.8,34.31,4.34,7.6
